#logger=serial_logger_v1.3
#saved_at=2026-02-04T17:50:40.308365
#fs_hz=25
#fs_hz_inferred=1
#segment_id=3
#segment_start_ms=2522048
#device_mode_code=5
#device_mode_tag=bus
#storage_mode_tag=bus
#mode_mismatch=0
t_ms,ax_raw,ay_raw,az_raw,ax_corr,ay_corr,az_corr,acc_mag_corr,gx,gy,gz,pressure_hpa,temp_C,alt_m
2526989,-6.4400,-3.1100,6.4900,-6.2474,-2.9125,6.8372,9.7088,1.5625,-2.6250,-5.2500,994.02,8.64,161.33
2527029,-6.5000,-2.7300,6.2300,-6.3074,-2.5325,6.5772,9.4581,7.0625,3.3125,-6.3125,994.02,8.64,161.31
2527069,-6.7500,-2.9800,6.6200,-6.5574,-2.7825,6.9672,9.9641,3.9375,-1.1875,-5.9375,994.03,8.64,161.23
2527109,-6.1300,-2.4200,5.9000,-5.9374,-2.2225,6.2472,8.9005,4.1875,1.4375,-7.0625,994.04,8.64,161.15
2527149,-6.6700,-3.0300,6.5200,-6.4774,-2.8325,6.8672,9.8559,4.7500,-1.1875,-6.0625,994.03,8.64,161.24
2527189,-6.7100,-2.5300,6.4700,-6.5174,-2.3325,6.8172,9.7155,2.5625,-0.1250,-7.6875,994.04,8.64,161.20
2527229,-7.3500,-2.9600,7.3100,-7.1574,-2.7625,7.6572,10.8394,4.8125,-1.9375,-7.3750,994.05,8.64,161.08
2527269,-7.0300,-3.4500,7.0200,-6.8374,-3.2525,7.3672,10.5643,1.4375,0.7500,-8.6250,994.05,8.64,161.11
2527308,-7.5600,-3.6800,6.5100,-7.3674,-3.4825,6.8572,10.6502,5.8750,2.0000,-6.8125,994.05,8.64,161.07
2527348,-6.7700,-2.7200,6.4500,-6.5774,-2.5225,6.7972,9.7891,5.3750,-0.5000,-2.0000,994.04,8.64,161.15
2527388,-6.5300,-3.0700,6.5700,-6.3374,-2.8725,6.9172,9.8113,4.3125,0.1250,-3.6250,994.03,8.64,161.26
2527428,-6.7700,-2.6800,7.2800,-6.5774,-2.4825,7.6272,10.3730,3.4375,-0.0625,-3.8750,994.02,8.64,161.32
2527468,-6.6400,-2.4700,6.4100,-6.4474,-2.2725,6.7572,9.6121,7.3125,4.0625,-4.0625,994.02,8.64,161.33
2527508,-6.6300,-3.3500,6.3700,-6.4374,-3.1525,6.7172,9.8234,5.1250,3.1250,-2.9375,994.02,8.64,161.36
